UYEISYERI_ID_MASK,mcc,district_id
56979008,5541,15
56979038,5541,59
56979046,5541,81
56979048,5541,81
56979051,5541,84
56979120,5541,17
56979121,5541,61
56979130,5541,82
57018378,5411,98
57172464,5941,63
57636485,5661,63
57730330,5541,77
57730374,4722,115
58063518,5200,81
58113372,5541,77
58345587,5045,115
58485367,5411,63
58638344,5691,31
58706340,5732,12
58760365,5691,50
58932437,5541,100
58932515,5691,88
58955483,5541,42
59054524,5541,141
59094468,5541,81
59203400,5200,34
59203420,5411,60
59240338,5814,82
59240548,5541,63
59321456,5691,70
59482505,5812,84
59482506,5812,84
59635469,5661,160
59793564,5941,17
59827528,5691,33
59902372,5977,50
59932435,5411,4
59932447,5541,60
60060384,4511,34
60126409,5045,115
60157532,5691,77
60187571,5045,115
60327474,5621,12
60399356,5411,61
60492496,5691,17
60492497,5691,50
60492499,5691,100
60492501,5691,34
60492502,5722,63
60492523,5691,61
60492524,5691,61
60550465,5912,60
60601524,5732,115
60680349,5045,115
60718398,5691,33
60718408,5691,50
60915343,5541,42
60943539,5941,96
61094344,5411,160
61193557,5411,121
61193558,5411,121
61226523,5541,63
61413458,4722,50
61451342,5411,4
61451344,5411,4
61451378,5411,60
61451390,5411,77
61489465,5411,65
61537439,5960,9
61818421,5045,115
61818555,5411,33
62022445,5691,50
62022458,5941,33
62225530,5499,59
62255471,5691,81
62255483,5541,61
62289337,5541,63
62384415,5541,115
62442415,5541,38
62474608,5411,82
62474609,5411,59
62474610,5411,84
62474611,5411,115
62474612,5411,70
62474617,5411,84
62474618,5411,123
62474619,5411,59
62474621,5411,59
62474622,5411,123
62474623,5411,123
62474625,5411,59
62474626,5411,100
62474627,5411,115
62474629,5411,123
62474630,5411,59
62474631,5411,33
62474632,5411,115
62474634,5411,84
62474635,5411,100
62474636,5411,115
62474638,5411,100
62474640,5411,123
62474641,5411,115
62474642,5411,123
62474646,5411,100
62474648,5411,115
62474649,5411,17
62474650,5411,70
62474651,5411,33
62474652,5411,70
62474653,5411,100
62474654,5411,123
62474824,5411,84
62474825,5411,84
62474826,5411,86
62474829,5411,82
62474830,5411,33
62474831,5411,84
62474832,5411,84
62474833,5411,84
62474834,5411,123
62474835,5411,17
62474836,5411,115
62474837,5411,123
62474838,5411,115
62474840,5411,123
62474841,5411,123
62474842,5411,59
62474843,5411,59
62474844,5411,115
62474845,5411,59
62474846,5411,84
62474847,5411,33
62474848,5411,33
62474849,5411,115
62474851,5411,115
62474854,5411,115
62474857,5411,115
62474858,5411,100
62474859,5411,115
62474871,5411,100
62474874,5411,59
62474876,5411,86
62474877,5411,70
62474878,5411,100
62474881,5411,82
62474882,5411,115
62474884,5411,82
62474885,5411,100
62474886,5411,123
62474887,5411,1
62474888,5411,70
62474889,5411,59
62474890,5411,100
62474891,5411,59
62474894,5411,100
62474895,5411,70
62474896,5411,70
62474897,5411,115
62474899,5411,115
62474900,5411,100
62474902,5411,100
62474903,5411,59
62474906,5411,17
62474907,5411,84
62474909,5411,82
62474911,5411,100
62475007,5411,88
62475008,5411,12
62475010,5411,81
62475011,5411,34
62475012,5411,84
62475013,5411,34
62475014,5411,88
62475015,5411,121
62475016,5411,88
62475017,5411,12
62475018,5411,77
62475019,5411,77
62475022,5411,121
62475023,5411,88
62475024,5411,120
62475025,5411,81
62475027,5411,2
62475028,5411,79
62475029,5411,88
62475030,5411,81
62475032,5411,2
62475033,5411,77
62475034,5411,2
62475036,5411,121
62475038,5411,60
62475041,5411,121
62475042,5411,34
62475045,5411,60
62475046,5411,2
62475048,5411,12
62475049,5411,120
62475050,5411,77
62475051,5411,88
62475053,5411,79
62475055,5411,77
62475056,5411,88
62475057,5411,2
62475058,5411,79
62475060,5411,81
62475061,5411,121
62475062,5411,121
62475063,5411,81
62475064,5411,79
62475065,5411,88
62475067,5411,121
62475068,5411,81
62475069,5411,121
62475070,5411,77
62475071,5411,77
62475072,5411,2
62475073,5411,81
62475074,5411,77
62475075,5411,81
62475077,5411,81
62475078,5411,2
62475079,5411,81
62475080,5411,121
62475081,5411,120
62475084,5411,88
62475085,5411,84
62475087,5411,77
62475088,5411,77
62475089,5411,79
62475091,5411,121
62475092,5411,84
62475093,5411,34
62475095,5411,12
62475096,5411,1
62475097,5411,34
62475098,5411,2
62475099,5411,53
62475102,5411,84
62475103,5411,34
62475107,5411,60
62475108,5411,81
62475111,5411,2
62475114,5411,81
62475115,5411,42
62475118,5411,42
62475119,5411,121
62475121,5411,79
62475123,5411,2
62475124,5411,60
62475126,5411,88
62475127,5411,12
62475128,5411,77
62475129,5411,12
62475131,5411,79
62475132,5411,12
62475133,5411,79
62475134,5411,120
62475135,5411,79
62475136,5411,42
62475137,5411,42
62475138,5411,121
62475144,5411,121
62475146,5411,60
62475148,5411,121
62475251,5411,160
62475252,5411,63
62475253,5411,96
62475254,5411,96
62475256,5411,50
62475259,5411,4
62475260,5411,160
62475264,5411,160
62475265,5411,50
62475266,5411,4
62475267,5411,160
62475269,5411,98
62475270,5411,96
62475274,5411,50
62475276,5411,50
62475277,5411,50
62475278,5411,4
62475279,5411,96
62475280,5411,96
62475285,5411,141
62475289,5411,61
62475290,5411,160
62475292,5411,65
62475293,5411,141
62475295,5411,38
62475299,5411,9
62475302,5411,87
62475303,5411,38
62475304,5411,61
62475305,5411,9
62475308,5411,160
62475309,5411,65
62475313,5411,9
62475314,5411,96
62475315,5411,160
62475318,5411,50
62475319,5411,9
62475322,5411,4
62475323,5411,50
62475325,5411,61
62475326,5411,96
62475327,5411,63
62475328,5411,160
62475330,5411,65
62475331,5411,160
62475333,5411,50
62475334,5411,9
62475337,5411,63
62475338,5411,160
62475340,5411,50
62475341,5411,50
62475343,5411,65
62475344,5411,61
62475345,5411,160
62475346,5411,160
62475349,5411,96
62475350,5411,96
62475353,5411,160
62475354,5411,61
62475356,5411,61
62475357,5411,61
62475358,5411,61
62475359,5411,63
62475360,5411,61
62475363,5411,61
62475365,5411,50
62475367,5411,4
62475368,5411,9
62475369,5411,50
62475370,5411,61
62475372,5411,50
62475373,5411,160
62475374,5411,50
62475376,5411,63
62475378,5411,9
62475380,5411,61
62475382,5411,50
62475383,5411,63
62475384,5411,61
62475385,5411,61
62475386,5411,4
62475388,5411,65
62475389,5411,63
62475390,5411,63
62475391,5411,131
62475392,5411,96
62475393,5411,141
62475394,5411,50
62475395,5411,9
62475396,5411,9
62475397,5411,9
62475398,5411,65
62475399,5411,61
62475400,5411,9
62475402,5411,4
62475408,5411,9
62475411,5411,61
62475412,5411,160
62475413,5411,63
62475415,5411,96
62475416,5411,63
62475417,5411,4
62475418,5411,96
62475420,5411,160
62475421,5411,98
62475422,5411,98
62475423,5411,65
62475424,5411,4
62475426,5411,63
62475427,5411,4
62475428,5411,63
62475429,5411,141
62475431,5411,160
62475432,5411,87
62475437,5411,63
62475439,5411,9
62475441,5411,63
62475443,5411,61
62475446,5411,160
62475447,5411,50
62475451,5411,160
62475454,5411,38
62475456,5411,50
62475459,5411,63
62475460,5411,63
62475461,5411,63
62475463,5411,160
62475581,5411,65
62475582,5411,160
62475585,5411,4
62475593,5411,15
62475599,5411,60
62475601,5411,60
62475602,5411,31
62475605,5411,31
62475608,5411,31
62475610,5411,60
62475619,5411,60
62475635,5411,31
62475774,5411,31
62475831,5411,65
62475852,5691,12
62638458,5541,77
62744508,7399,115
62744518,5411,96
62744542,5411,42
62744543,5411,100
62744545,5411,17
62744547,5411,31
63022366,5541,65
63022531,5541,31
63136463,5541,77
63243418,5691,63
63285444,5411,82
63594503,5691,98
63629583,5691,61
63629584,5411,34
63660530,5541,70
63701476,5045,50
63728460,7011,34
63728461,7011,34
63728465,5541,77
63728469,5621,123
63728490,5691,50
63728491,5691,50
63728492,5691,115
63966555,5411,50
64041393,5411,60
64041395,5411,59
64106531,5541,34
64135412,5411,65
64218431,5511,34
64263538,5691,100
64263543,5411,96
64263639,4722,50
64298531,5691,50
64330523,5691,61
64364415,5411,123
64449566,5691,160
64483668,5541,84
64619481,5411,96
64688528,5641,61
64754355,5691,88
64786436,5411,2
64958426,5691,2
64958605,5541,82
65048560,5541,82
65207360,5411,63
65287361,5541,77
65287431,5691,12
65326351,5691,2
65358513,5541,61
65402850,5411,50
65504591,5661,2
65533546,5541,1
65533571,5541,96
65723393,5661,31
65775397,5541,59
65879353,5661,63
65879621,5999,115
66190519,5541,38
66312363,5411,63
66359423,5411,70
66430606,5541,100
66473572,5411,59
66704358,5941,4
66733398,8062,61
66749427,5691,86
66919480,5541,86
67040425,5691,81
67069517,5960,63
67097501,5411,81
67138433,5411,160
67170395,5541,100
67170401,5541,63
67326352,5541,87
67326531,5411,65
67454416,5732,63
67486511,5411,50
67545494,5411,63
67613400,5411,63
67768334,5541,70
67768354,5691,63
67768357,4814,115
67795351,8062,34
67795352,8062,50
67795573,5691,59
67821501,5411,63
67883465,5691,59
67883489,5942,63
67883490,5942,59
67923375,5732,96
67923411,5411,96
67923417,5411,2
67950360,5411,82
67950419,5941,63
67978463,5941,63
68012455,5541,96
68012514,5691,34
68012519,5541,42
68042500,5691,59
68085382,5411,98
68206390,4814,17
68282506,5732,115
68312366,5411,88
68312453,5812,33
68357348,5411,123
68357389,5541,87
68401362,5945,115
68434329,5941,63
68434392,5950,59
68530363,5977,59
68574334,5732,63
68616484,5411,63
68655329,5691,59
68655332,5691,59
68655457,5945,63
68686346,8062,160
68686347,8062,63
68686514,5941,59
68722408,5732,59
68759469,5941,59
68759470,5814,59
68759471,5814,59
68759483,5945,59
68794463,5691,59
68794475,5691,59
68838473,5941,59
68838532,5691,59
68878424,5712,70
68878436,5691,50
68878451,5691,59
68913373,5812,59
68913468,5661,59
68913522,5691,59
68992531,5691,59
68992537,5691,96
69027465,5411,121
69067373,5661,59
69067433,5411,77
69067434,5411,77
69067514,5691,59
69145331,5691,34
69185556,5912,59
69248342,5960,63
69248457,5950,42
69312473,5691,42
69392425,5541,61
69392544,5814,86
69425536,5691,63
69478338,5411,38
69478342,5411,70
69478343,5411,123
69478344,5411,84
69478345,5411,123
69486374,5691,34
69486395,5691,63
69667401,5732,42
69667402,5732,42
69705495,5960,61
69818453,5691,34
69846423,5960,17
69846426,5960,17
69886521,5691,59
69920360,5691,59
69920471,5411,81
70077447,5661,34
70178404,5411,88
70206492,5945,34
70278463,5691,50
70278467,5691,34
70278495,5977,34
70278498,5691,121
70278537,5941,34
70278544,5045,115
70278547,5045,123
70321475,8062,33
70349422,5541,63
70377477,5411,96
70484377,5960,63
70691476,5411,121
70691477,5411,100
70691478,5411,84
70691480,5411,121
70924381,8062,17
71033474,5691,100
71814466,5691,12
71814485,5200,63
71852428,5411,12
71852495,5541,42
71930432,5411,121
71930433,5411,88
71930434,5411,121
71930436,5411,88
71930485,5691,160
72030404,8931,115
72075514,5411,63
72229414,5411,120
72308451,5411,123
72349465,5541,77
72349466,5541,61
72418346,5411,9
72504479,5411,60
72572480,5691,2
72611395,5200,61
72706383,5411,65
72706386,5411,123
72792425,5942,34
72847370,5541,38
72916434,5411,82
72916501,5411,9
72916531,5541,53
72916534,5411,12
72960377,5942,115
73001645,5411,160
73051366,5411,87
73083441,5541,60
73159361,5541,65
73159422,7538,88
73159426,5541,160
73159479,5541,17
73210489,5691,4
73210506,5541,160
73210584,5541,1
73210591,5541,98
73210592,5541,38
73269356,5541,33
73269359,5541,12
73269373,5691,61
73269453,5541,87
73387522,5691,160
73387550,5541,131
73419476,5541,141
73419477,5411,65
73459332,5541,4
73459477,5691,81
73459545,5960,115
73495444,5691,81
73495472,4722,34
73553367,5411,61
73553369,5691,50
73585473,4722,115
73585511,5411,100
73618498,5411,121
73618499,5732,121
73618529,5541,96
73618563,5541,100
73700438,5691,115
73700447,5045,81
73700457,5541,96
73758352,5541,50
73758380,5411,121
73758381,5411,121
73758382,5411,88
73758406,5411,53
73824435,5411,100
73901400,5045,82
73901405,5977,123
73901418,5411,63
73901419,5411,38
73933452,5411,61
73959440,5541,100
73996402,5411,60
74032513,5661,77
74098533,5541,82
74132356,5541,12
74132414,5541,65
74132436,5411,2
74132507,5541,123
74132509,5541,2
74174330,5541,59
74201418,5541,96
74234335,5541,9
74267489,5541,100
74267517,5411,65
74267531,5541,96
74353469,5541,86
74353489,5691,121
74353533,4812,17
74390348,5411,123
74417400,5411,59
74498345,5541,63
74498549,5411,9
74498550,5411,61
74589463,5411,65
74646404,5411,96
74646465,5411,121
74718382,5411,50
74718529,5411,38
74761439,5541,70
74921385,5541,79
74957429,5411,81
75073401,5499,96
75073464,5691,63
75073552,5691,50
75073555,5541,50
75073557,5541,50
75073560,5541,50
75106410,5661,121
75170407,5411,50
75170409,8062,4
75170521,5691,121
75214556,5691,121
75261411,5732,121
75261475,5661,121
75298426,5541,59
75298456,5691,121
75298470,5411,12
75402355,5045,9
75402375,5941,121
75477364,5941,121
75561498,5960,9
75561800,5045,63
75626428,8062,120
75663400,5691,115
75747330,5411,123
75787542,5411,79
75821547,5541,65
75854553,5691,50
75854554,5691,50
75854556,5691,63
75854565,5691,115
75854566,5691,115
75854568,5691,34
75854570,5691,17
75854572,5691,115
75854573,5691,84
75854576,5691,12
75854581,5691,65
75854585,5691,34
75854586,5691,61
75854589,5691,50
75854590,5691,4
75854591,5691,115
75946611,5045,115
76027489,7399,34
76027504,5942,60
76027579,5411,59
76027627,5411,12
76027629,5411,12
76068454,5411,50
76068495,5960,115
76127530,5411,9
76204543,5960,33
76284429,5814,121
76369355,5411,82
76404372,5732,115
76438337,5411,121
76610645,5411,42
76610648,5411,121
76654492,5691,121
76654534,5411,98
76654535,5411,98
76763495,5691,34
76763496,5691,34
76801501,5499,121
76836477,5411,60
76836482,5411,60
76836496,5691,34
76836503,5411,121
76836514,5411,88
76936415,5691,34
76936434,5411,70
76936435,5411,100
76972554,5691,84
77005590,5541,63
77170517,5541,82
77205568,5541,15
77247443,5541,50
77247444,5541,60
77247473,5541,121
77247477,5541,61
77247479,5541,17
77247508,5541,61
77247571,5411,123
77280475,5541,160
77357541,5541,15
77392458,5541,81
77392524,5541,60
77431458,5812,50
77431467,5411,50
77431469,5411,2
77431474,5411,81
77431475,5411,2
77431478,5411,81
77431493,5814,50
77431507,5814,61
77431510,5814,4
77431514,5812,33
77431520,5812,115
77431521,5814,115
77431525,5812,115
77431532,5812,34
77431533,5812,34
77431534,5812,82
77431535,5812,33
77431538,5812,123
77431546,5812,115
77431552,5814,17
77431556,5812,50
77431559,5812,50
77431563,5814,50
77431578,5814,160
77431580,5814,50
77431582,5812,59
77431596,5814,53
77431604,5812,63
77467536,5977,121
77467577,5912,4
77567417,5411,115
77567485,5411,50
77567492,5541,65
77602600,5960,9
77637474,5411,160
77673447,5411,60
77707512,5411,88
77707554,5541,160
77770343,5541,42
77770439,5411,121
77770472,5411,50
77770505,5541,70
77770532,5691,34
77841399,8043,84
77841493,5411,121
77879539,5411,120
77879541,5691,63
77923422,5411,4
77923438,5411,96
77974408,5541,120
78044414,5411,87
78113383,5960,17
78113475,5411,33
78145455,5411,120
78145491,5411,63
78263427,5960,115
78448333,5411,42
78484468,5732,31
78516662,5691,79
78566445,5732,84
78598498,5411,63
78629496,5411,81
78629497,5411,100
78666391,5691,84
78666425,5411,70
78698357,5411,82
78698358,5411,100
78698424,5691,65
78756382,5691,65
78756414,5691,65
79876536,5411,63
79876554,5691,84
79876562,5960,115
79922496,5661,84
79922513,5691,65
79956414,5941,65
79956415,5941,65
79987518,5691,84
79987524,5691,65
80077368,5941,65
80077488,5411,96
80116404,5691,65
80116451,5411,63
80177501,9399,123
80177510,5411,63
80231382,5691,50
80326452,5411,50
80326535,5691,65
80359492,5691,65
80359547,5661,65
80493443,5814,63
80535376,5960,160
80610433,5691,65
80610434,5691,31
80610478,5045,50
80666458,5411,61
80782393,5045,63
80944378,5661,31
81018557,5691,60
81018594,5977,4
81054384,5411,4
81110508,5691,4
81148535,5691,4
81286384,5691,4
81321445,5945,50
81321509,5812,4
81321511,5411,100
81321512,5411,100
81359482,5732,4
81359497,5200,61
81359509,5942,63
81493492,5691,4
81493493,5691,4
81572344,5814,50
81572345,5691,4
81572443,5942,4
81572474,5691,4
81572551,5411,63
81618430,5691,4
81618597,5499,38
81618598,5499,38
81618599,5941,50
81667392,5462,4
82046464,8062,59
82046467,5411,160
82092364,5411,42
82133428,5812,50
82133429,5691,50
82200438,5411,141
82237329,5411,12
82237503,5411,96
82237516,5691,100
82321366,5812,4
82409395,5411,96
82500421,5541,96
82500507,5691,81
82500509,5722,81
82500516,5691,81
82536449,5541,12
82536455,5411,88
82536456,5411,15
82536457,5411,121
82536464,5912,4
82587442,5812,33
82631371,5411,100
82631391,5732,4
82736435,5977,4
82785351,5945,115
82785412,5462,33
82889387,5411,82
82924460,5411,38
82997459,8043,160
83034526,5200,4
83094393,5691,115
83094410,4814,17
83094413,5732,79
83094414,5411,50
83162481,5411,79
83205365,5541,81
83205511,5541,63
83250430,5691,4
83250431,5999,77
83250434,5999,160
83250437,5999,84
83250438,5999,86
83250449,5200,65
83306330,5691,4
83341434,5533,123
83341482,5411,2
83341494,5977,4
83376329,5691,4
83426447,5732,4
83426448,5411,42
83426452,5691,121
83426454,5691,4
83461387,5691,60
83461538,5941,4
83566428,5411,4
83566433,5411,84
83566438,5691,4
83566440,5661,4
83566464,5691,4
83566470,5691,4
83566485,5541,31
83566486,5812,4
83566504,5691,4
83605331,5411,123
83605346,5661,160
83605495,5691,4
83605504,5941,4
83656514,5691,4
83656541,5941,4
83656592,5691,115
83758449,5999,77
83758452,5999,100
83758453,5999,59
83758456,5999,123
83758457,5999,70
83758460,5999,50
83758464,5999,160
83758474,5999,81
83758475,5999,34
83836424,5661,4
83836489,5977,50
83868418,5411,86
83868453,5411,1
83908434,5732,88
83908496,5812,4
83908558,5814,65
83939380,5661,4
84127463,5411,61
84127479,5411,4
84127480,5411,121
84203436,5411,61
84203477,5691,4
84260352,5691,50
84296501,5732,17
84331490,5691,79
84371428,5960,61
84371429,5960,61
84399355,5411,82
84469403,5411,160
84640365,5411,141
84640427,5541,38
84674488,5691,4
84772577,5411,115
