description,mcc,category_name,description,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3090,Uni Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3091,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3092,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3093,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3094,Zambia Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3095,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3096,Air Zimbabwe,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3097,Spanair,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3098,Asiana,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3099,Cathay Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3100,Malaysian Airline System,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3101,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3102,Iberia,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3103,Garuda (Indonesia),Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3104,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3105,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3106,Braathens S.A.F.E.(Norway),Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3107,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3108,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3109,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3110,Wings Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3111,British Midland,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3112,Windward Island,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3113,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3114,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3115,Tower Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3116,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3117,Viasa,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3118,Valley Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3119,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3120,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3121,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3122,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3123,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3124,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3125,Tan Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3126,Talair,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3127,Taca International,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3128,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3129,Surinam Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3130,Sun World International,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3131,VLM Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3132,Frontier,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3133,Sunbelt Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3134,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3135,Sudan Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3136,Qatar Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3137,Sigleton,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3138,Simmons Airlines ,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3139,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3140,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3141,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3142,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3143,Scenic Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3144,Virgin Atlantic,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3145,San Juan Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3146,Luxair,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3147,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3148,AIR LITTORAL,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3149,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3150,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3151,Air Zaire,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3152,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3153,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3154,Princeville Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3155,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3156,GOFLY     ,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3157,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3158,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3159,Provincetown-Boston Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3160,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3161,All Nippon Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3162,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3163,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3164,Norontair,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3165,New York Helicopter,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3166,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3167,Aerocontinente,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3168,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3169,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3170,Mount Cook,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3171,Canadian Airlines ,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3172,Nation Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3173,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3174,Jetblue Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3175,Middle East Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3176,Metroflight Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3177,Airtrans,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3178,Mesa Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3179,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3180,Westjet Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3181,Malev,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3182,Lot (Poland),Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3183,Oman Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3184,Liat,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3185,Lav (Venezuela),Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3186,Lap (Paraguay),Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3187,Lacsa (Costa Rika),Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3188,Virgin Express,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3189,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3190,Jugoslav Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3191,Island Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3192,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3193,Indian Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3194,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3195,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3196,Hawaiian Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3197,Havasu Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3198,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3199,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3200,Guyana Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3201,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3202,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3203,Golden Pacific Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3204,Freedom Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3205,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3206,China East,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3207,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3208,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3209,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3210,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3211,Norwegian,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3212,Dominicana De Aviacion     ,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3213,Malmo Aviation,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3214,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3215,Dan Air Services,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3216,Cumberland Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3217,CSA Ceskoslovenske Aerolinie,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3218,Crown Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3219,COPA (Compania Panamena De Aviacion),Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3220,Compania Faucett,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3221,Transportes Aeros Militares Ecuatorianos,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3222,Command Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3223,Comair,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3224,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3225,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3226,Skyways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3227,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3228,Cayman Airways,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3229,Saeta Sociaedad Ecuatorianos DeTransporters Aeros,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3230,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3231,Sahsa Servicio Aereo De Honduras,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3232,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3233,Capitol Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3234,Caribbean,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3235,Brockway Air,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3236,Air Arabia,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3237,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3238,Bemidji Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3239,Bar Harbor Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3240,Bahamasair,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3241,Aviateca,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3242,Avensa,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3243,Austrian Air Service,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3244,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3245,Easy Jet,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3246,Ryan Air ,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3247,Gol Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3248,TAM Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3249,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3250,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3251,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3252,Alm Antilean Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3253,America West,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3254,US Air Shuttle,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3255,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3256,Alaska Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3257,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3258,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3259,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3260,Spirit Airlines,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3261,Air China,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3262,"Reno Air,Inc",Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3263,Aserca Aero Servico Carabobo,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3264,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3265,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3266,Air Seychelles,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3267,Air Panama,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3268,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3269,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3270,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3271,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3272,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3273,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3274,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3275,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3276,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3277,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3278,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3279,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3280,Air Jamaica,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3281,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3282,Air Djibouti,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3283,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3284,Aero Virgin Island,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3285,Aero Peru,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 04 - HAVAYOLLARI,3286,Aerolineas Nicaraguenses,Bu MCC belirtilen özel havayolu _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
