merchant_id,mcc,district_id,cnt,amnt,Y,X,BUFF_DIST,Shopping,TrvlDest,TrnsHub,AutoSvc,Business,CommSvc,EduInst,Entrtn,FinInst,Hospital,MajHwys,MiscCategory,Parking,ParkRec,RailRds,Restaurant,SecHwys,POI_sum,POI_diversity
107468603,5812,0,969,10906.42,40.86748157,29.41212014,200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27454697,5411,0,262,11974.59,40.18945,28.98513,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27673989,5541,0,186,21715.44,41.14496095,27.87622595,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27721895,5541,0,141,137474.88,40.97241891,27.47883454,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
70206383,5541,0,682,127977.43,40.72188505,30.07852335,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
70206382,5541,0,445,139557.37,40.72188505,30.07852335,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
194943929,7399,0,374,3771.49,40.87188,29.39096,200,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
174007438,5814,0,149,1545.1,40.87188,29.39096,200,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
170211543,5812,0,135,1458.25,40.87188,29.39096,200,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
170211542,5812,0,116,1296.65,40.87188,29.39096,200,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
100825521,5732,0,176,15940.44,41.29907683,28.01104576,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
156669329,5200,0,264,592833.55,40.67895,30.04645,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
117203532,5499,0,400,1472.26,40.75944024,29.86995199,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,1.011404265
163923884,5411,0,2964,30520.85,40.75944024,29.86995199,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,1.011404265
27753407,5541,0,595,78551.96,41.08121243,29.06473437,200,0,2,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,8,1.732867951
82046512,5532,0,118,6987.29,40.75808608,29.85787769,200,3,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,8,1.494175138
48208551,5541,0,717,81787.04,40.74974,29.79558,200,4,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,9,1.273028337
27721999,5541,0,175,152301.54,41.32194,27.67492,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0.348832096
62474972,5411,0,112,5546.4,40.51100177,28.825913,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
91129338,5541,0,134,15716.53,40.42469,29.15836,200,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,4,10,1.470808476
76836480,5411,0,131,4192.38,41.17808,27.7757,200,0,0,0,0,0,2,0,0,0,0,6,0,0,0,3,0,0,11,0.994923633
63873461,5541,0,114,12474.68,41.09482739,27.95136424,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0.474139313
65914888,5691,0,156,16004.95,40.86161,26.62749,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,0.286835983
103494477,5200,0,115,25885.14,40.79559,29.44427,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0.429323022
80147812,9399,0,161,61712.71,40.86815226,29.61400109,200,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,15,0.76475442
100392483,5532,0,118,15083.88,39.61337,26.89509,200,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,9,15,1.297295831
144895569,5541,0,243,15658.67,41.15487,27.78227,200,4,0,0,3,0,1,0,0,0,0,10,0,0,0,0,0,0,18,1.119990356
97790420,5411,0,144,8801.79,40.75878192,29.95090962,200,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,8,24,1.18469106
102845356,5411,0,111,25228.93,40.7569,29.99786,200,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,11,24,0.836565172
27703493,5411,0,300,18348.2,40.708225,30.118335,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,26,0.644179806
125837469,5541,0,186,23380.14,40.81343,29.3833,200,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21,26,0.672296228
80147794,9399,0,114,46783.22,41.22848,27.8817,200,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,0
27671287,5691,0,112,8595.06,41.22848,27.8817,200,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,0
138940485,5941,0,234,41400.38,41.04273,28.69115,200,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,19,29,0.85482864
145730646,5541,0,174,18485.66,41.02251138,27.99191638,200,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,23,29,0.5098157
27734602,5541,0,123,13226.53,40.18847,29.09417,200,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,29,0.783767869
119855389,5691,0,112,15540.34,41.09098568,28.63477367,200,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,18,29,1.056766416
167000455,5814,0,110,2008.19,40.85216,29.36333,200,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,26,31,0.59507279
120894466,5641,0,167,28446.63,41.013345,28.899925,200,6,0,0,2,1,1,3,0,0,0,0,1,0,1,0,0,18,33,1.452283935
69518424,5411,0,169,11867.64,40.66698927,29.32048193,200,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,34,0.823672637
69518422,5691,0,158,19075.31,40.66698927,29.32048193,200,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,34,0.823672637
97329414,5411,0,195,4278.5,41.26299,27.94122,200,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,0.28140184
111326525,5411,0,110,3559.06,40.66917,27.242585,200,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,37,0.892670623
27480774,5541,0,100,16357.29,40.66917,27.242585,200,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,37,0.892670623
62475281,5411,0,202,5185.84,41.00911995,29.03367574,200,9,0,0,0,0,1,2,0,0,0,0,2,0,2,0,0,22,38,1.218195679
147414821,5499,0,126,45775.56,41.08953849,28.96781997,200,23,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,11,38,0.958926901
87013503,5691,0,116,13877.6,39.33198337,26.70972874,200,6,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,27,38,0.926165395
63022466,5532,0,109,13946.17,39.49629553,26.97132168,200,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,31,38,0.653768393
99467349,5211,0,102,95061.13,41.00544,28.881819,200,3,2,0,0,0,0,2,2,0,0,0,4,0,1,0,4,20,38,1.572856678
62475387,5411,0,140,6789.34,41.07696,29.06673,200,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,31,40,0.724118091
74316505,5541,0,252,198097.02,40.82345547,29.35168468,200,6,0,0,1,1,0,0,0,0,0,8,0,0,1,0,2,23,42,1.335556512
78044334,5411,0,229,16381.81,40.21687,28.98109,200,9,0,0,0,0,2,0,1,1,0,0,5,0,3,0,3,19,43,1.62760664
97928466,5541,0,191,20856,41.27076,27.965445,200,10,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,28,44,1.077367681
80077451,5411,0,112,2374.1,41.15536,27.79425,200,30,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,10,45,0.96589891
111496335,5411,0,207,5495.72,40.99961,28.61796,200,12,0,0,2,2,0,1,0,0,0,0,3,0,0,0,2,24,46,1.360230708
85647380,5541,0,103,12051.54,40.66994,29.33906,200,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,4,47,0.392119912
167931486,5411,0,256,16284.9,41.012335,27.85013,200,23,0,0,0,0,2,0,3,0,1,0,0,0,0,0,8,12,49,1.376454781
144357479,5411,0,105,7499.35,41.08313,28.87285,200,3,0,0,0,0,1,0,0,0,0,13,3,0,1,0,0,28,49,1.172682713
74234374,5541,0,110,12667.82,41.01291326,27.85236923,200,18,0,0,0,0,1,0,3,0,0,0,0,0,0,0,6,22,50,1.230502619
89306391,5411,0,1301,57803.21,41.01608,29.21629,200,23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,21,52,1.128130354
122946553,5499,0,382,13863.2,41.06292,28.67959,200,8,0,0,0,0,0,4,0,4,1,0,4,0,0,0,1,32,54,1.319083796
76836387,5411,0,153,5551.57,41.06292,28.67959,200,8,0,0,0,0,0,4,0,4,1,0,4,0,0,0,1,32,54,1.319083796
148705420,5732,0,128,84293.9,41.06292,28.67959,200,8,0,0,0,0,0,4,0,4,1,0,4,0,0,0,1,32,54,1.319083796
152458462,5541,0,114,13930.14,40.65800408,29.29077983,200,4,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,9,56,0.769953073
148266681,5541,0,137,16159.45,40.79582876,30.74218662,200,21,0,0,1,0,4,2,0,13,1,0,0,0,1,0,3,13,59,1.690232984
87920369,5641,0,312,54826.26,41.11011,29.02505,200,5,1,0,0,7,0,11,2,7,0,0,0,3,1,0,4,19,60,1.96370408
165162536,5912,0,126,2151.9,40.749175,29.95862,200,15,0,0,14,1,2,0,0,0,0,20,0,0,0,0,1,7,60,1.552846787
96529495,5691,0,17561,1774041.63,41.11011,29.02505,200,5,1,0,0,7,0,11,2,7,0,0,0,3,1,0,4,19,60,1.96370408
139480530,5411,0,180,3751.26,41.01604,29.21693,200,31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,23,62,1.073577496
108548388,5541,0,402,30772.38,40.994055,28.60829,200,28,0,0,0,1,4,0,0,2,0,0,0,0,0,0,3,30,68,1.19649364
128489339,5541,0,104,12152.49,40.78943,29.40888,200,4,0,0,3,0,1,0,0,0,0,14,0,0,0,0,0,46,68,0.956194159
108196507,5814,0,910,4461.05,40.81144482,29.37089202,200,8,1,0,1,0,1,0,0,3,0,39,0,0,0,0,4,14,71,1.371098842
