UYEISYERI_ID_MASK,amount_slope,count_slope,avgrevpc_slope,label20f3
27447336,-60.88881119,-0.699300699,0.020178802,0
27447758,-1106.159615,-1.804195804,-29.81694442,0
27447767,3.467202797,0.083916084,0.325039604,1
27447983,303.5656643,3.618881119,-0.494460981,1
27448075,23.84020979,0.178321678,-0.342073361,1
27448097,-5.786363636,-0.143356643,-0.165547838,0
27448414,-408.7490559,-4.916083916,-0.0433025,0
27449916,-67.05926573,-0.160839161,0.202481044,0
27451100,6.840034965,0.486013986,-0.183766748,1
27451432,366.2164685,0.370629371,-0.191630568,1
27452884,-1.438111888,-0.027972028,0.027483738,0
27455245,-18.03356643,-0.384615385,-0.763208744,0
27455791,-2.652832168,-0.143356643,0.585564256,0
27455909,60.31895105,1.132867133,-1.206318179,1
27456801,63.66737762,0.307692308,2.540705795,1
27457515,-1.959475524,-0.262237762,0.788397773,0
27460503,12.11314685,0.534965035,-0.75712154,1
27460661,37.42933566,-3.601398601,0.966416842,1
27460989,586.4572727,-0.772727273,2.408586291,1
27462199,-15.16531469,-1.58041958,0.311767374,0
27462956,-11.67097902,0.101398601,-2.742210843,0
27463768,34.26545455,0.758741259,0.044252312,1
27466285,-53.57304196,-0.706293706,-1.16871833,0
27467625,25.07493007,0.454545455,0.403602026,1
27470944,53.95181818,0.447552448,0.320275649,1
27470945,67.2593007,0.384615385,1.64928839,1
27471367,1079.526119,0.258741259,29.97568502,1
27471368,1066.817483,0.727272727,31.47252391,1
27471370,-1548.694755,-1.538461538,6.505218696,0
27471371,358.6412587,2.48951049,-1.23894826,1
27472085,104.2875524,-0.083916084,14.05154313,1
27472247,-261.9833566,-2.881118881,0.247299135,0
27472871,191.1023427,0.853146853,1.931371052,1
27474240,-465.6131119,-4.171328671,-4.540975847,0
27474388,44.28793706,-0.230769231,1.342161573,1
27474390,-42.80979021,-0.342657343,0.115773414,0
27480835,36.59814685,-0.01048951,1.461427783,1
27481516,-118.0294406,-1.041958042,-0.755407416,0
27482156,719.5841608,1.269230769,3.992737245,1
27482158,-1394.882028,0.902097902,-50.27050993,0
27482276,55.99825175,0.090909091,4.857232365,1
27482520,-383.9164685,4.314685315,-8.904337214,0
27482643,-110.6186713,-0.262237762,-0.81462645,0
27485896,86.12087413,0.881118881,-0.08978215,1
27486963,-239.0585315,-1.482517483,-3.737334169,0
27488798,-561.0357692,-3.951048951,-0.432547357,0
27489179,168.7215385,0.444055944,1.34837957,1
27490977,118.1052098,0.475524476,1.448162608,1
27492378,52.16513986,0.017482517,3.432068997,1
27492384,56.94811189,0.688811189,-1.751639517,1
27492396,94.38576923,0.839160839,0.027979663,1
27492401,-62.35594406,-0.56993007,1.120128373,0
27493291,54.06304196,1.433566434,-0.374628096,1
27493957,-4627.927343,0.541958042,-7.877919874,0
27495842,-932.7532517,-0.486013986,-12.93294932,0
27495910,39.00814685,0.653846154,-1.250019561,1
27497097,-28.49926573,-0.458041958,0.221235345,0
27497280,-3.740629371,-0.101398601,0.566995374,0
27499143,-609.8483566,-4.65034965,-9.291276891,0
27500565,-511.2985315,-0.63986014,-33.00775855,0
27501177,20.93132867,0.181818182,-3.844932119,1
27501709,31.89479021,0.629370629,0.864071554,1
27501711,78.13363636,1.692307692,0.849595753,1
27501718,29.26160839,1.451048951,-0.49529221,1
27501720,-4.257727273,-0.475524476,0.36690148,0
27501728,-33.57713287,-1.940559441,0.630138526,0
27501732,9.461258741,1.185314685,-1.009807489,1
27501735,7.883601399,0.409090909,-0.097374089,1
27501739,30.26048951,1.213286713,0.590809087,1
27501740,-3.962902098,0.153846154,-0.949872647,0
27501749,49.93856643,2.027972028,0.057717372,1
27501751,-5.842062937,-0.727272727,0.796139135,0
27501752,30.94713287,1.702797203,-0.576472681,1
27501865,-213.6073776,-1.038461538,-0.990081242,0
27501905,8.653846154,-0.531468531,0.578967228,1
27501912,-3.643076923,-0.202797203,0.067184008,0
27501917,12.58716783,0.660839161,-1.332782671,1
27501918,-4.029195804,0.36013986,-0.815973787,0
27501925,45.42692308,2.115384615,-0.42890937,1
27501928,11.12230769,-0.157342657,0.83342042,1
27501934,-16.21629371,-0.423076923,-0.606715536,0
27501937,-23.18314685,-0.052447552,-0.918705709,0
27501938,16.42615385,0.43006993,0.39586918,1
27501939,14.55262238,0.41958042,0.217796339,1
27501940,-5.831608392,-0.059440559,-0.237896336,0
27501943,-1.738881119,0.090909091,-0.499797716,0
27501947,57.56055944,1.513986014,-1.282229246,1
27501948,9.556258741,0.758741259,-0.408061451,1
27501952,-2.927202797,-0.398601399,0.138775107,0
27501959,18.37716783,0.821678322,0.02833605,1
27501964,-3.762972028,-0.884615385,1.507027757,0
27501968,-14.26045455,-1.125874126,0.621697717,0
27501974,-12.5629021,-0.118881119,-0.479530892,0
27501984,10.5379021,1.020979021,-0.844068075,1
27501991,-23.29356643,-1.538461538,1.155007146,0
27501993,-14.95318182,0.181818182,-1.46850444,0
27501994,25.85800699,2.297202797,-0.695093022,1
27501995,44.41562937,2.167832168,0.25559724,1
27501999,-18.59045455,-0.912587413,0.726632838,0
27502000,-25.31087413,-0.895104895,-0.036115028,0
27502003,28.2372028,0.555944056,0.279145782,1
27502221,14.06447552,0.118881119,1.270991812,1
27503901,150.4188811,0.702797203,1.700350297,1
27505314,-41.03482517,-0.181818182,-2.259973027,0
27505371,66.59111888,0.629370629,1.826248877,1
27505903,-80.3877972,-0.723776224,-1.457314381,0
27508046,1231.058741,3.090909091,1.976217509,1
27509437,-46.29335664,-0.363636364,-2.016799421,0
27510633,-70.87916084,-3.79020979,0.649660644,0
27510634,-43.64625874,-1.262237762,-0.487670438,0
27510887,40.18881119,0.426573427,1.951690923,1
27511223,7.928916084,0.496503497,-0.010039343,1
27511224,28.545,0.776223776,0.899932221,1
27511550,21.56125874,0.157342657,1.182816041,1
27512859,12.52062937,0.440559441,0.183220625,1
27512865,15.88174825,0.388111888,0.240100141,1
27513543,-40.38503497,-0.108391608,-1.644096791,0
27516468,-334.7829371,-2.482517483,-6.246168953,0
27518549,-19090.16626,-1.461538462,-472.0215297,0
27518791,-55.58506993,-0.157342657,-0.409069934,0
27519085,-35.09898601,-0.248251748,-1.168070329,0
27520047,58.93265734,1.111888112,0.558838621,1
27520559,55.77454545,2.367132867,0.513906984,1
27520562,1.14027972,-0.052447552,0.236875641,1
27520570,-11.0979021,0.426573427,-1.537825767,0
27521599,33.58367133,1.594405594,-0.135154491,1
27521640,9.774125874,0.146853147,0.537176967,1
27522292,29.21870629,0.258741259,1.764901151,1
27524605,-222.659021,-3.052447552,14.26267294,0
27524945,58.58132867,0.059440559,0.508239045,1
27525464,-12.44506993,-0.36013986,3.372817216,0
27525710,16.18758741,0.262237762,0.608176547,1
27525711,-6.25013986,-0.706293706,0.375743418,0
27525930,-913.2378671,-7.91958042,-0.036787512,0
27525932,-5813.265455,-1.367132867,-196.2785397,0
27526550,-1465.205,-8.734265734,-5.295228292,0
27526837,-801.9031469,-1.384615385,11.64686151,0
27526859,20.52755245,0.066433566,1.232607009,1
27527830,190.2902098,1.835664336,5.613665599,1
27528559,-4.531293706,0.125874126,-1.257281491,0
27528594,-24.24178322,-0.353146853,2.584116502,0
27531011,-1.99451049,-0.132867133,1.710072238,0
27531696,66.0777972,0.398601399,0.658541692,1
27533108,114.8234615,0.797202797,3.104108231,1
27533111,-1.096258741,-0.003496503,1.97052455,0
27533113,30.64101399,0.486013986,0.47379377,1
27533114,-5.001713287,-0.255244755,0.732141453,0
27533119,-26.8048951,-0.363636364,-0.714554468,0
27533124,17.81888112,0.125874126,1.433952663,1
27533822,-381.1460839,-6.681818182,-7.086398179,0
27534961,-64.90493007,-0.625874126,-0.394610816,0
27535134,88.09503497,0.202797203,-4.099216613,1
27535651,220.9983217,-2.013986014,3.606370843,1
27537295,20.8751049,0.052447552,0.657507947,1
27537297,192.7832517,1.48951049,0.854105729,1
27537300,-117.9831469,-1.48951049,0.059045233,0
27537302,33.17986014,0.513986014,0.25868629,1
27537303,65.71534965,0.744755245,0.27728789,1
27537305,90.79604895,0.961538462,0.537035541,1
27537307,15.49174825,-0.839160839,1.890315143,1
27537308,94.88104895,0.744755245,1.268753556,1
27537310,20.02129371,0.346153846,-0.060136639,1
27537311,213.3666434,2.888111888,0.090762711,1
27538326,187.3788462,1.538461538,-3.33903867,1
27538546,222.6256993,0.534965035,7.04881438,1
27539331,-33.21227273,-0.237762238,1.025620213,0
27539453,140.6878322,0.601398601,0.973021056,1
27539461,-8.417727273,0.031468531,-1.241825758,0
27539494,-46.03213287,-0.300699301,-3.164778651,0
27543690,-166.2793007,-2.188811189,0.019652249,0
27544529,-271.0620629,-2.884615385,-1.924893349,0
27545982,-21.27926573,-0.482517483,-0.116150343,0
27550105,-134.1216434,-0.041958042,-8.446014199,0
27550108,-357.4850699,-0.332167832,-4.284690991,0
27551572,-31.01884615,-1.332167832,1.543990349,0
27551757,-259.3913986,0.304195804,-2.646849481,0
27552034,-92.37041958,-0.024475524,-0.498658152,0
27552479,1794.831294,13.21328671,0.183813206,1
27552480,-220.8742657,-2.486013986,-0.1548359,0
27552481,202.2877622,0.377622378,1.692002702,1
27554085,1.171643357,0.052447552,0.598806644,1
27555167,-14.34552448,0.066433566,-1.358053499,0
27555937,-641.4835664,-5.545454545,-13.58457003,0
27555998,1316.947867,1.13986014,38.92409284,1
27557769,7.603356643,-0.132867133,2.158439098,1
27557965,-49.43622378,-0.185314685,-3.990404483,0
27558265,-8.695244755,1.178321678,-2.30459145,0
27558393,-190.4626573,0.590909091,-2.76704275,0
27559355,43.40447552,0.762237762,0.150733768,1
27560993,28.18730769,0.384615385,0.409023365,1
27561024,-0.618041958,0.003496503,-0.899610268,0
27561061,-30.21933566,-0.300699301,-1.233937399,0
27562066,-158.860035,0.045454545,-16.83300243,0
27562421,195.6452448,1.22027972,1.458700351,1
27562422,114.0387063,-0.045454545,2.926398483,1
27563069,-101.3394406,0.314685315,-16.47587139,0
27564848,14.49548951,0.465034965,0.851038859,1
27565953,161.600979,1.076923077,-0.205979596,1
27566122,134.8657343,1.307692308,0.244771698,1
27571607,6.302272727,0.346153846,0.343266346,1
27572003,-110.088951,-0.72027972,0.685698656,0
27572009,-289.0694406,-0.91958042,-1.685455535,0
27572462,-207.099021,-0.541958042,-3.859732211,0
27574273,-6692.147203,-0.895104895,-40.39970675,0
27574725,29.63758741,0.671328671,-0.050583622,1
27578077,24.0522028,1.314685315,-0.415317564,1
27578079,41.80765734,0.821678322,0.341801474,1
27580331,38.69223776,1.965034965,0.392896194,1
27582953,45.51454545,0.227272727,3.118970863,1
27583048,-5796.111154,27.66783217,-11.3721361,0
27584170,305.0274476,3.653846154,-0.840325991,1
27584171,58.76321678,0.702797203,0.398609989,1
27586172,-408.3009441,-0.297202797,-18.48863214,0
27587792,-183.2152797,-3.136363636,-5.632491212,0
27589796,-9.93027972,-0.297202797,0.232971707,0
27590514,39.47437063,0.346153846,0.701807834,1
27592471,-793.8491259,-1.629370629,54.24535683,0
27592472,-1869.36465,-3.192307692,11.70412945,0
27595405,-20.99884615,-0.458041958,0.00944486,0
27595567,-122.327972,-2.143356643,2.029298972,0
27595931,474.1466783,1.77972028,25.28678216,1
27596618,-56.08863636,-2.839160839,-1.997732538,0
27598973,1056.96993,1.832167832,3.158721757,1
27599964,-96.65629371,-2.241258741,-5.224685677,0
27601753,-1008.139126,-19.91608392,0.276267195,0
27603518,440.5289161,0.590909091,25.1955785,1
27603520,77.50555944,1.597902098,-4.637438601,1
27605356,2798.036993,15.71678322,1.453108925,1
27610626,-17.07972028,-0.132867133,-0.683918282,0
27613011,83.79807692,0.667832168,0.377099212,1
27613012,-53.85174825,-0.835664336,1.350727924,0
27615047,111.7392308,1.996503497,-1.665127995,1
27615793,17.07234266,-0.29020979,0.315019242,1
27615794,-108.3574126,-3.688811189,2.900680377,0
27615796,-331.923042,-7.402097902,3.761140375,0
27615800,-3.494335664,-1.793706294,2.255848246,0
27615802,-31.7334965,-1.65034965,1.931188257,0
27615804,148.1373427,-0.157342657,2.2210352,1
27615931,119.6067133,-0.706293706,29.78937491,1
27619013,67.51968531,3.699300699,-10.26191731,1
27619690,-354.9177972,-1.465034965,-5.673329233,0
27620345,7.421748252,-0.227272727,1.062880711,1
27622457,-277.481993,-2.087412587,-1.046427724,0
27622805,-141.9915385,-3.748251748,0.524247787,0
27623697,-11.40265734,-0.783216783,0.439337887,0
27623850,10.3101049,0.702797203,-0.511879111,1
27623883,5.844230769,-0.370629371,1.346260915,1
27624506,14.96853147,0.486013986,0.308658813,1
27625611,78.01048951,-0.15034965,23.55063985,1
27628262,-1.912552448,-0.087412587,0.165590026,0
27629364,72.92083916,0.77972028,-0.017037163,1
27629747,-439.9787063,1.335664336,-0.625944339,0
27629749,-612.765979,-0.615384615,-5.657056622,0
27630211,163.2657343,0.342657343,8.301165307,1
27630455,-11.31087413,-0.699300699,17.6013506,0
27632179,-118.2513636,-1.335664336,-0.511574035,0
27633494,743.1286014,3,2.391079749,1
27634044,3.683006993,1.087412587,-1.470249258,1
27634538,82.98940559,1.178321678,0.07507348,1
27634834,-43.80262238,-0.58041958,15.18172006,0
27634880,-83.51265734,-0.304195804,-2.891519542,0
27635220,785.7117832,6.835664336,8.098302297,1
27636281,-34.92769231,-0.786713287,10.37564904,0
27636312,22.72213287,-0.073426573,3.072893745,1
27636990,40.25604895,-0.405594406,1.571972003,1
27637822,-206.3547552,-2.06993007,-0.945688613,0
27637842,29.31821678,0.465034965,1.43753457,1
27638066,-128.5628322,-0.811188811,0.375528025,0
27638392,11.15667832,0.643356643,-0.914049756,1
27639519,-175.0098601,-5.814685315,0.00073302,0
27641628,-81.45248252,-0.601398601,-1.074450279,0
27641631,-26.56496503,-0.468531469,-0.305118874,0
27645337,-1081.04993,-1.734265734,14.50953524,0
27646263,183.4751748,-1.524475524,21.80991424,1
27646721,22.38423077,0.681818182,-0.2718363,1
27647243,-496.4361888,-1.839160839,-0.589682924,0
27647936,71.3798951,0.342657343,2.206653542,1
27649743,52.65982517,0.660839161,-0.026723001,1
27650325,-407.4687413,-6.307692308,-8.812155642,0
27650350,111.1032517,0.395104895,1.493057619,1
27650616,31.56814685,1.328671329,-0.456259646,1
27650617,-17.5784965,0.045454545,-1.958934756,0
27652194,17.57076923,0.629370629,-0.61521011,1
27652365,-401.4904196,-1.178321678,11.96966795,0
27653324,-35.07702797,-0.409090909,-0.941769054,0
27653808,177.9374476,2.199300699,0.450730654,1
27655856,-77.69311189,-0.36013986,-4.188668019,0
27657169,0.591853147,-0.241258741,1.225625076,1
27657307,584.7718531,1.566433566,1.998505973,1
27657490,34.28912587,0.643356643,-0.203174668,1
27657553,6650.964615,3.58041958,21.65493387,1
27658550,-3.958951049,0.024475524,-0.30987608,0
27658696,-318.022972,-4.104895105,-5.673489603,0
27660892,-1994.639545,-0.402097902,-48.73215641,0
27661384,-68.49853147,-1.940559441,-2.029954167,0
27661853,-176.9457343,-1.426573427,-0.781706647,0
27662322,-1157.207028,-1.657342657,3.243001348,0
27662758,1603.892483,1.178321678,10.83308414,1
27663158,-45.84097902,-0.618881119,4.950427452,0
27664910,30.45283217,0.940559441,-0.076467131,1
27665015,30.4941958,-1.353146853,14.63822737,1
27666410,-2617.897867,-2.611888112,-4.152565425,0
27667829,463.215,6.958041958,-2.030988617,1
27669589,110.9488811,-0.29020979,7.015140308,1
27671279,-25.03335664,-1.811188811,0.323032796,0
27671912,-50.66870629,-0.118881119,-0.836459554,0
27674316,-183.1404196,-0.727272727,-5.588436011,0
27674977,1.378846154,-0.730769231,0.766394526,1
27676228,-266.6863636,-2.174825175,-0.586226248,0
27676719,-0.425,-0.052447552,0.055882907,0
27677152,12.25475524,-0.241258741,0.814186585,1
27678980,-145.6262238,-4.073426573,-4.63960937,0
27679204,-14.21751748,-0.34965035,0.556737664,0
27679313,-215.4432517,-2.132867133,-1.123733562,0
27680755,-56.88685315,-0.034965035,-1.385628414,0
27681732,665.5865035,0.447552448,21.46883998,1
27681956,34.3108042,0.821678322,-16.21549877,1
27682666,25.86024476,-2.426573427,2.31289113,1
27683014,-14.28559441,-0.195804196,0.120420823,0
27683761,20.25094406,0.625874126,0.167142654,1
27683865,49.53314685,0.157342657,1.801550631,1
27684270,-78.5713986,-1.912587413,2.465345821,0
27684889,644.1494755,2.195804196,18.13136303,1
27685150,42.33097902,-0.038461538,1.93977278,1
27685381,25.16405594,0.199300699,-0.130186786,1
27685467,223.3276224,3.664335664,0.142361413,1
27685470,81.24020979,-0.115384615,1.207826809,1
27685480,-185.6832517,-3.045454545,0.459626846,0
27685492,103.8845804,1.552447552,-0.017210018,1
27685503,54.29328671,-0.77972028,1.685946334,1
27685508,-41.7058042,-1.433566434,0.674744787,0
27685514,28.73038462,1.335664336,-0.080068821,1
27685516,-31.96465035,-0.800699301,-2.166160826,0
27685522,-137.6561189,-2.629370629,1.053750578,0
27685528,-13.60101399,0.020979021,-0.359221533,0
27685537,-102.9494406,-1.643356643,-0.524137061,0
27685695,-77.34094406,-0.5,-1.380223588,0
27685697,-105.2981818,-1.713286713,0.318513419,0
27685882,237.2034965,1.115384615,1.852710922,1
27686076,59.95734266,0.090909091,5.115709884,1
27686258,66.87115385,0.304195804,0.989032239,1
27686304,43.73534965,0.283216783,-6.330930077,1
27686311,3.319825175,-0.111888112,0.4854143,1
27686600,-28.64870629,-0.534965035,0.779804892,0
27686909,-2.003846154,-0.402097902,0.225054374,0
27687662,186.1996154,0.926573427,0.07679235,1
27687775,-251.7596154,0.055944056,-21.68542947,0
27688138,-58.67405594,-2.174825175,0.69078188,0
27688726,-61.02076923,-0.020979021,-5.406208144,0
27690038,-50.71398601,-0.293706294,-2.588683554,0
27690437,64.27629371,3.692307692,-5.510175205,1
27690673,440.1191259,9.409090909,-1.753136864,1
27692198,15.58108392,0.70979021,-0.001475014,1
27692436,269.1739161,0.601398601,7.061000184,1
27692440,27.41020979,-0.255244755,4.223974628,1
27692441,-30.24160839,-0.188811189,-2.114815227,0
27692479,76.00863636,0.545454545,2.043364687,1
27692671,-27.44755245,-0.986013986,-0.122027294,0
27692672,-282.1853147,-9.13986014,-0.041471983,0
27694531,38.50657343,0.86013986,-0.770670777,1
27694686,20.35416084,0.590909091,-4.583263194,1
27695042,14.30003497,-0.293706294,0.978254441,1
27696939,-3525.510734,-1.874125874,39.44642174,0
27697174,33.72171329,19.9965035,-1.813704323,1
27702198,-83.52783217,-1.381118881,1.421483564,0
27703262,-95.47818182,-0.65034965,-2.016161172,0
27703331,367.3488811,4.765734266,-1.521841129,1
27703338,-1325.101329,-12.65734266,-12.94757057,0
27703348,442.5265385,3.325174825,0.180994598,1
27703381,-105.8851049,-1.527972028,0.384870187,0
27703492,-348.4557692,-3.961538462,-3.383065721,0
27703539,2149.131154,6.167832168,2.821519516,1
27703557,-130.4766084,-1.629370629,-0.030147784,0
27703599,1256.908671,3.727272727,1.976666508,1
