27447336,20,29,32,44,34,29,33,28,31,8,22,30
27447758,49,34,35,33,27,17,21,25,31,31,19,18
27447767,5,25,14,17,11,18,21,16,12,15,13,17
27447983,153,168,167,181,190,198,218,263,250,235,208,118
27448075,10,9,5,6,8,14,8,13,12,7,10,9
27448097,10,9,14,13,15,8,9,8,10,9,11,11
27448414,577,558,551,530,488,516,542,460,509,507,536,510
27449916,16,18,31,39,55,32,48,30,31,22,26,20
27451100,0,15,12,8,7,8,7,12,15,16,17,4
27451432,6,7,7,16,9,7,6,13,16,10,14,7
27452884,46,56,43,36,46,51,42,27,48,40,63,42
27455245,17,8,16,8,13,13,21,18,15,12,12,1
27455791,12,9,17,14,4,9,6,10,6,6,17,11
27455909,38,27,35,21,32,45,34,24,42,31,51,44
27456801,6,7,13,9,17,12,13,16,9,16,11,9
27457515,9,11,21,20,12,17,10,8,14,13,18,6
27460503,36,31,42,37,26,26,34,25,28,43,48,39
27460661,216,268,282,268,268,292,297,216,274,238,222,199
27460989,308,244,248,360,311,235,242,211,302,298,304,260
27462199,20,26,24,27,20,29,28,19,16,19,7,3
27462956,13,5,7,11,8,6,8,7,9,16,11,6
27463768,63,47,33,49,36,37,39,45,38,56,61,59
27466285,32,23,23,24,22,21,17,19,23,24,25,13
27467625,28,37,36,33,29,40,44,43,56,35,38,25
27470944,26,12,28,19,25,16,37,20,21,23,32,23
27470945,26,11,39,17,19,15,19,28,21,31,25,25
27471367,18,34,27,12,22,29,19,33,33,10,29,28
27471368,11,9,4,7,3,8,4,4,8,10,16,20
27471370,32,22,32,28,34,39,11,16,20,9,18,21
27471371,94,56,86,76,83,93,77,72,122,138,88,83
27472085,18,6,10,21,10,12,17,6,9,12,19,10
27472247,102,126,105,111,104,90,84,84,101,79,92,82
27472871,44,60,73,67,56,36,44,34,65,79,68,62
27474240,69,80,66,60,40,38,39,23,52,58,48,0
27474388,52,65,88,59,66,55,55,46,49,68,83,54
27474390,31,17,29,28,27,26,19,15,23,27,25,23
27480835,17,17,13,18,18,20,21,15,25,21,16,10
27481516,65,48,33,63,67,61,71,54,63,41,40,42
27482156,27,24,37,21,30,40,39,30,28,39,48,36
27482158,59,62,68,62,56,66,39,53,30,135,75,47
27482276,8,8,7,7,8,20,9,8,5,8,10,10
27482520,108,125,117,68,57,88,66,86,118,155,189,115
27482643,108,116,102,128,108,83,97,89,105,82,109,134
27485896,75,53,36,54,47,62,65,49,68,61,76,56
27486963,29,37,18,15,12,12,7,8,12,15,19,10
27488798,141,153,133,164,76,75,71,80,97,95,119,120
27489179,57,67,33,23,41,33,28,33,50,43,64,55
27490977,42,43,33,54,50,45,38,32,44,60,47,44
27492378,13,3,7,6,14,21,18,10,6,5,8,12
27492384,12,10,10,17,12,10,12,10,10,14,27,17
27492396,25,18,25,20,11,22,25,16,28,28,31,29
27492401,20,13,17,15,13,16,15,7,13,14,9,13
27493291,3,5,4,4,6,10,6,11,17,14,16,18
27493957,574,561,616,572,618,839,632,571,666,590,602,560
27495842,47,43,55,46,46,64,45,46,43,41,41,48
27495910,23,30,35,25,18,37,15,27,33,50,39,19
27497097,24,9,8,11,6,13,10,19,9,11,10,7
27497280,15,13,7,17,16,29,19,14,11,14,18,8
27499143,60,45,44,55,46,40,29,35,50,16,0,0
27500565,10,11,11,15,15,17,4,5,8,9,7,5
27501177,8,11,5,7,4,8,12,16,5,3,15,8
27501709,10,7,13,8,23,18,15,8,9,21,17,17
27501711,13,17,12,15,19,17,17,17,34,30,31,26
27501718,13,16,23,23,24,23,34,26,30,36,34,23
27501720,11,12,15,15,13,15,14,12,4,6,8,13
27501728,40,23,42,29,29,39,46,26,25,12,14,18
27501732,3,5,7,8,3,6,12,7,10,4,26,16
27501735,24,14,22,10,18,15,21,17,27,22,27,16
27501739,7,3,3,4,7,10,7,11,14,14,24,9
27501740,10,9,6,5,10,12,5,10,8,6,13,10
27501749,12,16,20,40,36,50,28,31,49,32,47,31
27501751,21,17,11,18,21,10,10,10,10,12,11,13
27501752,12,14,10,5,19,35,22,24,20,17,26,35
27501865,113,115,114,111,116,116,91,105,106,96,115,105
27501905,34,40,36,38,30,30,23,32,19,29,38,35
27501912,10,13,14,16,19,22,9,12,10,13,12,12
27501917,10,3,9,6,11,4,12,9,17,16,11,11
27501918,16,16,15,23,15,16,18,13,28,21,18,18
27501925,7,7,9,15,32,31,38,29,34,34,20,27
27501928,11,27,19,14,19,14,24,17,15,16,16,17
27501934,18,12,14,26,20,27,28,21,11,14,15,11
27501937,18,17,18,8,19,21,20,20,20,17,19,10
27501938,9,10,15,24,25,30,34,30,15,16,16,17
27501939,22,21,16,17,17,18,28,13,32,24,20,22
27501940,13,15,12,15,14,19,15,4,15,15,17,11
27501943,16,8,19,17,13,11,21,18,4,14,18,17
