,age_mean,age_median,age_std,education_ent,employment_ent,gender_ent,home_dist_ent,income_mean,income_median,income_std,marital_ent,work_dist_ent
27447336,40.70886075949367,39.0,9.736465818468716,1.2833774739563149,1.1109863684630625,0.4671443694565147,2.756275951414243,6505.584415584415,3000.0,11473.017533544395,0.7314290647761823,2.117533349520599
27447758,38.766666666666666,37.0,10.185344517386396,1.3722504307804895,1.048127220958377,0.1985152433458725,2.2928849730164322,6890.983050847458,2000.0,24765.901935365113,0.7477393973662888,1.7362890449804511
27447767,42.84615384615385,45.0,8.008809252381132,1.4985690796770057,1.2309316230479224,0.5402041423888608,0.7937300551584245,3323.6153846153848,2280.0,3754.9915565475762,0.6172417697303416,0.6870920273799714
27447983,38.89887640449438,38.0,9.289064972110772,1.345112394291328,0.8795996622011478,0.32754477456431397,2.395966808400745,3673.197356321839,2200.0,6553.438441766357,0.6285552800294949,2.1042990744360592
27448075,38.916666666666664,36.5,10.588699985167516,1.3511102031391051,1.0215247252911435,0.5382674532283412,1.8497290802770339,2622.711111111111,1850.0,2242.8903594795856,0.9775720029405378,2.469610189623122
27448097,40.77777777777778,41.5,10.367117448114811,1.0399095464305241,0.8377716126398522,0.3488320958430319,2.033662343665036,2529.722222222222,2250.0,2152.1292276297677,0.6546695645285008,0.9160681370152876
27448414,40.49393605292172,39.0,8.87469283417649,1.4506009926049492,1.0453116985030846,0.47594351272639723,2.763687051809285,2829.981405152225,2000.0,4723.774915872963,0.6229765898165294,1.9970074136714955
27449916,40.45454545454545,41.0,9.475271986638655,1.4286836444059845,1.1175498231510586,0.39830711380528416,3.065177294244649,3554.3789880952377,2000.0,5569.353369693768,0.7069447544834981,3.156765116411707
27451100,34.354166666666664,32.0,8.521536129958283,1.1321803036785916,0.6995903985811894,0.45056120886630463,2.2637652545932356,2754.6222222222223,2000.0,4714.582774796095,1.1068128656213159,2.6060589378112713
27451432,42.57142857142857,43.0,10.627905765125176,1.277034259466139,0.9556998911125343,0.0,1.945910149055313,1599.4285714285713,850.0,2072.8809949072374,0.0,1.7478680974667573
27452884,37.6890756302521,36.0,8.998820920090514,1.4420600428795294,0.9699492514368011,0.3449311769528814,2.041193626738592,2990.2291964285714,2000.0,5102.12598689558,0.6018746692019807,1.5424306558077958
27454697,39.64,37.0,10.59827029912586,1.3110953624144015,1.1849533573427233,0.5004024235381879,2.670119889806817,3318.9270833333335,2075.0,4334.120280502727,0.6060252027357298,2.622996276085791
27455245,39.791666666666664,39.0,10.705460478558175,1.1877796262219495,1.3506571017544886,0.6036372515003261,2.3864102028340204,3865.4166666666665,2000.0,4817.884236310868,0.45056120886630463,0.847039638507847
27455791,38.65,37.5,9.90609757829839,1.4167950739111246,1.0165989599520169,0.6108643020548935,2.0892700448631847,2382.6710526315787,2000.0,2165.8484770074797,0.49029326913593657,0.7494429964357578
27455909,38.73913043478261,37.0,9.702413547386097,1.2920753956780717,0.98689757368877,0.29543919187211615,2.240438627780376,2824.700447761194,1500.0,6284.681663441778,0.6566009678987618,1.8355993276288367
27456801,41.793103448275865,42.0,9.089725490788082,1.4262054457286757,1.0535444915073369,0.5320955331901371,2.1922626229178324,3454.8790000000004,2240.475,4130.676931652081,0.6822430338543036,1.7615778446175105
27457515,35.125,32.0,9.317176750963547,1.1972970154342812,0.7315151084145228,0.6896709283570268,1.1967111294257538,2118.7916666666665,2050.0,1328.995370135118,1.0132843295512497,0.95251274687916
27458742,44.92857142857143,45.5,10.3563491759388,1.2069311788491146,1.346511139307236,0.1540761036710294,2.9381824546861237,6338.08,1554.0,14813.025143771274,0.7678576230981704,2.884863440796897
27460503,40.72463768115942,39.0,10.274174352564343,1.5793356197202635,1.0019858603640854,0.46203690946645704,2.651057641712087,2272.3322047244096,1840.0,2461.383093155732,0.6925869056355511,2.0091204563532465
27460661,42.613382899628256,42.0,9.993615839281562,1.4804239229022302,1.2978811511122785,0.6558590336104975,2.465682235052478,3684.2290909090907,2750.0,4057.1709611049055,0.7271509706488785,0.9841021224779103
27460989,41.05706134094151,40.0,9.702997883302602,1.4793509419676663,1.188153735740716,0.455501472969014,2.659430209276928,4154.591585185186,2500.0,6047.115100822675,0.6773480148180023,2.4816749968041485
27462199,37.0,36.0,7.1787800997753255,1.303170538474766,0.3676494774001423,0.5859526183035508,2.4754425878274677,2380.904761904762,1500.0,4585.881120269589,0.6802343309951316,1.7409857192965146
27462954,41.638297872340424,40.0,9.882847529970679,1.292563615006993,1.0371300366267617,0.641317327350994,2.579811380725798,3758.9772727272725,2000.0,4571.922167075578,0.7607086798834659,2.592392038919687
27462956,37.916666666666664,38.5,9.74970448724742,1.3918225551238939,1.0539929515544233,0.5623351446188083,2.497517084246535,3052.659574468085,2000.0,2849.003626568386,0.8837157403544715,2.4449139153962944
27463768,38.31506849315068,39.0,9.202772396778604,1.4570293227782902,0.9403602749525284,0.3994548015236374,2.3874147996739876,2354.194029850746,1750.0,2367.824402521424,0.4869934124346205,0.32165100605894337
27466285,36.49107142857143,35.0,9.7064996666479,1.5594736062101195,1.1049454174470466,0.6405605590923158,2.8622370901864524,2329.059902912621,1600.0,4466.75649491833,1.0326606048203288,2.073224256774488
27467265,41.902578796561606,41.0,10.439024880568843,1.4783670419912773,1.234445817533889,0.5051322635321392,2.607390661259086,5143.8787761194035,2790.0,7903.261149872678,0.766861195132289,3.0132609410740607
27467625,39.407407407407405,37.0,8.88065858290346,1.0839409531235125,0.5735160760972796,0.6924611526112329,2.340839625906445,1578.9615384615386,1375.0,1218.5358256783172,0.936888307539016,0.6248603116943127
27470944,38.589285714285715,38.0,8.442229298072608,1.545622984751075,1.0389555303379385,0.5623351446188083,2.761278671864847,2750.108910891089,1800.0,4692.859209268886,0.7380555579227006,2.0415945620160945
27470945,39.73913043478261,39.0,8.453263624416913,1.536177923276868,1.005793750557882,0.5913032645657815,2.7028882855702987,2999.452589285714,2270.0,3275.5505708783558,0.6880302265391163,1.9779006891883653
27471367,39.733333333333334,39.0,9.88822687908833,1.4890848846476024,1.1607527000604523,0.48863064377205795,2.17888702422154,6330.738124999999,2580.0,12346.404988340093,0.8314090248344773,2.1446469909494366
27471368,39.717948717948715,36.0,10.465353158596372,1.193684748679788,0.9600083778887764,0.47061498118148126,1.986316466054487,3676.6697297297296,1850.0,4151.057288385485,1.0453495675354136,1.614325679723214
27471370,41.30909090909091,41.0,9.001773661149407,1.4815932361561213,1.3020594875058178,0.36933312164565274,2.819347398632315,6046.645161290323,3000.0,13920.116964606897,0.6384388037212219,2.8605844529102646
27471371,39.27142857142857,37.0,9.604506660347186,1.3946989933405005,1.0989194252429026,0.5893192746206767,2.56078821467577,4245.4982914572865,2500.0,6062.662326871901,0.5452630433663354,2.5485137941030116
27472085,42.285714285714285,40.0,11.374156169643028,1.7117721632930851,1.0535276548219663,0.6700089798274271,2.2370404423396635,4167.377358490566,2500.0,4341.018952638863,0.934252043471073,2.3870269794365218
27472247,39.052845528455286,38.0,9.072117635950878,1.4745921768334977,1.0471984234408636,0.43038765525156286,2.543200111680348,3257.942754237288,2242.0,3549.595039117939,0.7647290869557988,2.5044864911684734
27472871,39.67910447761194,39.5,9.449987664604794,1.529109108880351,1.231422437757612,0.3657337906763969,2.7415249962432267,4800.717777777777,2000.0,8458.93638488328,0.5532004127980321,2.4077273799553893
27474240,42.10666666666667,41.0,10.884473682167991,1.3389983713351123,1.354039036374727,0.4168832423922961,2.7948248804654185,6175.262411347518,3000.0,14042.782350804879,0.8168300225033043,2.667650913206439
27474388,42.213793103448275,41.0,10.152256951176936,1.447842528722093,1.2716671833479045,0.5363432381899231,2.8680551646925316,3905.696824817518,2500.0,6008.052857093293,0.7421143817337716,2.638911177779637
27474390,40.11194029850746,39.0,9.3331493026836,1.4067037713724662,1.1578811375616171,0.5496996817077255,2.658843532795033,3374.2148837209306,2000.0,5190.846894765992,0.5639133260853927,1.780376706246021
27480774,47.483870967741936,46.0,10.834731092623498,1.3641955006587207,1.1648518866133144,0.2392170938165129,2.746320638015375,4009.074074074074,1500.0,7993.2652754386145,0.5503536168824767,2.98486979933271
27480835,38.0,35.5,8.879161344003132,1.2192164464418294,1.2613999832164473,0.6688570623740269,2.1584457136566204,5624.5,2500.0,11920.440213206195,0.8680260605618368,1.6783367129732316
27481516,40.4,39.0,8.114116642548892,1.438001864613943,1.228569203750101,0.437375573980383,2.8474049791295633,3895.1319014084506,2500.0,5421.454572359334,0.7434891209121697,2.7241196932102567
27482156,41.68217054263566,40.0,9.183021439152691,1.3980319278905908,0.8566420930122545,0.32678291742106524,2.565909048431735,2390.104,1800.0,3127.9246722428925,0.46730762824851,1.8095657882401759
27482158,41.73037542662116,40.0,9.788114762915116,1.5718317696674866,1.1810848262015752,0.5613958192513605,2.4156065795088466,3977.7516071428568,2000.0,6636.263150060547,0.7561529811325898,2.103515045454504
27482276,39.32608695652174,38.0,9.072680230783421,1.154039396441923,1.1030443031846262,0.5500755235997135,2.1154685033618237,3386.093023255814,2000.0,5778.61654564627,1.1727587028761823,1.250310959910137
27482520,43.988950276243095,43.0,8.87149810761525,1.5877385654845422,1.2797683922853476,0.4707226157826269,3.257811979241344,15661.707386363636,6250.0,32196.258090026604,0.5451931005525934,3.3817978878769517
27482643,39.59866220735786,39.0,9.334902296696464,1.4298362514352674,1.0987374335247564,0.3610196757894926,2.6521600506738907,3980.124946996466,2337.0,7458.357507676739,0.7033460753005876,2.4259373997843046
