UYEISYERI_ID_MASK,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
27447336,28.884374149999999,40.981830590000001,1687.3600000000001,3224.9099999999999,3069.5899999999997,3851.6100000000001
27447758,28.828239870000001,41.011449810000002,5480.8000000000002,21258.940000000002,4813.2999999999993,13405.940000000001
27447767,29.029170000000001,40.988160000000001,60.870000000000005,536.43000000000006,276.25999999999999,350.94000000000005
27447983,28.881509999999999,41.028230000000001,16443.900000000001,19355.110000000001,20975.530000000002,20353.040000000001
27448075,28.950140000000001,41.008920000000003,745.82000000000016,802.90000000000009,707.94000000000005,827.46000000000004
27448097,28.867270000000001,41.020710000000001,454.19999999999999,413.67999999999995,388.56999999999999,706.79999999999995
27448414,28.675068029999998,41.006443539999999,47929.920000000042,35800.22000000003,42626.499999999993,44099.580000000009
27449916,28.927969999999998,41.019509999999997,1974.6499999999999,2234.27,5871,8135.7899999999991
27451100,29.004349999999999,41.043570000000003,0,1052.1999999999998,768.0999999999998,508.79999999999995
27451432,29.214169999999999,40.956049999999998,3801.7400000000002,6924.4999999999991,6356.4500000000007,10247.289999999999
27452884,29.278929999999999,40.904649999999997,4573.3099999999995,5695.6999999999998,4933.9500000000007,3495.4100000000003
27454697,28.985130000000002,40.189450000000001,842.96999999999991,1247.5200000000002,1897.9200000000001,583.42000000000007
27455245,28.777270000000001,40.995249999999999,673.89999999999998,609,798.45000000000005,348.19999999999999
27455791,28.802050000000001,41.047870000000003,393.5,301.80000000000001,916.92999999999995,751.89999999999998
27455909,29.26566,40.983069999999998,3422.9099999999999,3536.4400000000001,2574.52,600.5
27456801,28.650089999999999,41.010779999999997,594.60000000000002,873.83999999999992,2256.79,1312.3800000000001
27457515,29.119669999999999,41.020760000000003,268.37,302.89999999999998,686.98000000000002,658.50999999999999
27458742,40.567495649999998,41.037619640000003,1570.5400000000006,954.51000000000022,721.01999999999998,1660.01
27460503,28.579550000000001,41.021619999999999,3269.7899999999991,2132.7200000000003,3063.25,4291.0900000000011
