UYEISYERI_ID_MASK,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,6m-rev-mean,6m-rev-std
100579388,28.78946,41.00431,2798.169999999999,3333.8,2921.0999999999995,1583.6899999999998,1784.4256283333334,1475.2856173045811
100579389,28.90499725,41.09028783,6932.880000000002,7841.529999999999,7021.070000000001,3606.460000000001,4245.322547513333,3569.9394456452446
100579391,28.79719,41.02053,3280.8000000000006,1888.1200000000008,2579.539999999999,1155.4000000000003,1495.6129533333333,1334.0903171047037
100579393,28.78608,41.0586,5856.989999999998,5894.469999999999,5149.519999999997,3996.7999999999984,3494.6041133333324,2766.587858893268
100603491,29.100445,40.978885,116.0,210.25,74.75,252.0,120.51322166666667,91.8020809526303
100647599,29.00816,41.05104,0.0,0.0,0.0,0.0,11.676533333333333,18.485738543864205
100686535,28.89583262,41.04964127,3083.7000000000007,2230.5800000000004,1992.23,1882.3000000000004,1543.1259123150003,1241.9195661509802
100724535,29.13003704,40.99585309,2665.0000000000005,1384.3900000000003,1757.510000000001,3114.1800000000003,1498.5343150216668,1291.093939560077
100825422,32.20155,40.73241,9221.100000000002,14393.29,6035.339999999999,7177.1500000000015,6149.968993333333,5535.382148099233
100825430,28.39025,41.06804,5520.240000000001,7919.09,3691.31,3479.63,3446.6213816666673,3086.937946818285
100825503,29.15994,40.9398908,618.95,611.35,580.28,363.87000000000006,374.09163846666667,278.8667184285239
100825521,28.01104576,41.29907683,2062.2000000000003,1195.72,3316.0900000000006,977.1500000000002,1270.0783537650002,1261.553506849163
100863554,29.02044,41.1829,30.0,167.25,483.5,606.85,226.30055666666667,255.41272501750743
100899358,29.13043,41.02329,0.0,0.0,0.0,0.0,11.692286666666668,18.499918212986422
100937533,29.16388,40.91907,249.96,309.24,653.4,183.89,244.42882499999996,229.30707382941134
101033456,28.97922,41.03362,0.0,0.0,0.0,0.0,11.668806666666667,18.474776685895463
101145484,28.95009,41055.0,5364.4,7226.58,4376.090000000001,5069.9400000000005,10520.160015000001,15148.108553932285
101188430,28.90853,41.08338,19049.13,14062.840000000004,17336.959999999995,22003.390000000003,12087.051985,9682.70360565544
101222465,28.97756,41.02287,133.5,180.5,101.25,51.75,89.50007166666667,59.65420836212594
101284448,29.21509,40.95214,7185.419999999999,5910.9800000000005,6429.110000000001,9217.89,4802.261205,3860.18525705609
101321412,28.93178,41.00689,432.18,204.95,345.42,330.31,230.466445,167.9485913580774
101358388,29.09819,41.0955,350.64,310.69,549.69,374.87,276.0139483333333,203.76292372960793
101358394,29.19497,41.01121,555.12,474.93,451.74,455.85,334.64103,235.03681467472265
101402396,28.78063,41.00052,789.73,1303.81,1383.1399999999996,1377.6700000000003,820.6885249999999,647.4529039866009
101402536,28.66173,41.03046,6381.740000000001,6727.78,6535.18,4904.700000000001,4103.182031666666,3216.8362458123743
101434602,28998,41.10231,29000.46,23858.680000000004,28644.379999999997,26073.26,17941.146718333333,13994.804329016635
101434603,28.97602,41.06901,14511.29,6249.89,10609.850000000002,8535.010000000002,6662.680838333334,5808.762445670376
101434604,28.96552818,41.0644548,10092.54,2629.21,3687.58,4301.6,3463.4933304966667,3712.19414042427
101434608,28.89821,40.98833,8984.83,6837.489999999999,8556.34,8530.729999999998,5496.54609,4294.022584716378
101554416,28.72824,41.20394,2076.8300000000004,3146.9100000000003,2890.81,990.8,1529.2136966666667,1380.3107178535874
101554417,28.81445244,41.01247633,1798.89,1470.0300000000002,647.8,1577.4,927.3244881283335,793.4427630509064
101691448,29.10329,40.989432,1827.54,611.26,787.0999999999998,1125.61,736.9337869999999,684.7136945894302
101691473,29.085852,40.97981,488.2600000000001,5554.489999999999,6028.7199999999975,1608.25,2291.630943666666,2775.456032020349
101790368,29.108775,40.997505,498.07,63.81999999999999,284.40000000000003,861.71,296.3510466666667,332.01164450532536
101790390,29.13468,41.01358,195.39,190.6,420.61,460.54,222.88137666666668,183.29744719125117
101825394,28.8657521,41.02903022,6172.159999999998,14289.490000000002,11834.28,3109.8,5912.604130386667,6037.471551586348
101825423,28.97497,41.02903,1290.3100000000002,396.25000000000006,1513.2099999999998,1412.7700000000002,780424,700.8267613516541
101825425,28.98706,41.05688,2125.3400000000006,1446.08,2072.14,2137.81,1308.56899,1019.8649288219551
101864511,28.889616,41.040877,7997.040000000002,3196.91,6622.56,4579.18,3744.270082166667,3313.1628698253676
101897519,29.02014,41.00979,2670.3500000000004,4094.58,6508.4400000000005,5498.37,3140.2949883333335,2732.106391716573
101946477,29.03804853,41.02478853,107.18999999999998,225.06,229.96,438.8200000000001,178.51547284333336,154.21147231609496
101946503,28.91453,41.05902,334.2,150.39,945.78,419.5,319.973925,344.3860820617022
101984379,28.78094,40.99217,520.9,516.69,274.01,383.91,294.2138516666667,220.86724145213591
101984447,29.079512,41.019885,18009.47000000001,15102.16,18436.47,21308.790000000005,12154.498232833335,9591.61892663373
102159439,29.21436,40.90883,4818.219999999999,19458.79,5862.55,3735.29,5657.4955316666665,7185.271449087117
102196395,28.81445244,41.01247633,2211.28,1890.3700000000003,1725.5900000000004,2514.54,1401.9344881283334,1093.0526681603428
102231387,28.86567936,41.03379403,281.95,1705.76,328.63,636.99,503.8715788983333,629.6132953914513
102305359,28.86998,40.997105,653.6200000000001,307.34,382.35,618.28,338.57618083333335,270.1295681325779
102364418,29.107435,40.994795,203.0,233.25,287.5,300.5,182.39203833333332,119.58072136012764
102435518,29.14022,40.98807,1570.0,3640.0,1208.0,1668.9,1359.504715,1332.0662118423832
102699351,28.90863,41.06603,2504.3399999999992,2071.34,3034.6500000000005,696.23,1396.08911,1308.7504250960064
102813406,29.44231488,40.79538628,1134.32,594.9300000000001,690.48,2151.03,773.4996168600001,794.6115312971273
102845356,29.99786,40.7569,1139.34,3196.49,4762.81,4938.53,2351.320793333333,2254.745474337714
102868513,28.92835,41.08272,1710.1899999999998,1512.12,1269.0000000000002,2009.48,1095.1335116666667,856.2999229200163
102868546,28.89068,41.03553,213.3,602.4300000000001,1009.7900000000002,971.7700000000002,477.8693683333334,448.284587927234
102903389,29.0894,40.97927,345.04,609.1199999999999,1163.88,1027.2,535.8847783333334,485.6597142580179
102903390,29.09824,40.98133,244.68,598.42,478.9500000000001,585.5500000000001,329.6132616666667,261.1105004324551
102903392,29.12704,40.99281,0.0,0.0,425.95,710.9,201.16164166666667,298.8461045296349
